Производитель;Артикул;Наименование;Объем;Состав;Вязкость;API;ACEA;Допуски OEM;Цена;Количество
FUCHS;600481636;Моторное масло FUCHS Titan SuperSyn Longlife Plus SAE 0W-30 (1л);1;;0W-30;;A5/B5; BMW LL-01-FE,VW 503.00,VW 506.00,VW 506.01;1;1
GULF;121507GU01;Моторное масло GULF Formula XLE SAE 5W-30 (1л);1;Синтетическое;5W-30;;;;0;1
GULF;121007GU01;Моторное масло GULF Formula G SAE 5W-40 (1л);1;Синтетическое;5W-40;;;;0;Мало
GULF;121707GU01;Моторное масло GULF Formula G SAE 5W-30 (1л);1;Синтетическое;5W-30;;;;0;1
GULF;122007GU01;Моторное масло GULF Formula ULE SAE 5W-30 (1л);1;Синтетическое;5W-30;;;;0;1
GULF;122107GU01;Моторное масло GULF Formula ULE SAE 5W-40 (1л);1;Синтетическое;5W-40;;;;1;1
GULF;ab-122207GU01;Моторное масло GULF Formula GX SAE 5W-40 (1л);1;Синтетическое;5W-40;;;;0;1
GULF;122407GU01;Моторное масло GULF TEC Plus SAE 5W-40 (1л);1;Полусинтетическое;5W-40;;;;0;1
GULF;121807GU01;Моторное масло GULF Formula GMX SAE 5W-30 (1л);1;Синтетическое;5W-30;;;;0;1
GULF;122807GU01;Моторное масло GULF Ultrasynth GMX SAE 5W-30 (1л);1;Синтетическое;5W-30;SN;;GM Dexos 1;0;1
Idemitsu;FBA-0073-001;Моторное масло IDEMITSU Racing Diesel SAE 15W-40 (1л);1;Гидрокрекинг;15W-40;CF4/SG;;;1;1
Idemitsu;1849-001;Моторное масло IDEMITSU Zepro Euro Spec SN/CF SAE 5W-40 (1л);1;Синтетическое;5W-40;SN/CF;A3/B3, A3/B4;"Porsche A40
BMW Longlife-01
MB 229.5 / 229.3
VW 50";0;1
Idemitsu;1845-001;Моторное масло IDEMITSU Zepro Touring SN/GF-5 SAE 5W-30 (1л);1;Синтетическое;5W-30;SN;;;0;1
Idemitsu;3583-001;Моторное масло IDEMITSU Zepro Eco Medalist SN/GF-5 SAE 0W-20 (1л);1;Гидрокрекинг;0W-20;SN;;;0;1
Idemitsu;30015024-746;Моторное масло IDEMITSU Extreme ECO F-S SN/GF-5 SAE 0W-20 (4л);4;Синтетическое;0W-20;SN;;;0;1
Idemitsu;2156-004;Моторное масло IDEMITSU Zepro Diesel DL-1 SAE 5W-30 (4л);4;Полусинтетикое;5W-30;CF;C2;;1;1
Idemitsu;FIA-8840-6L4L;Моторное масло IDEMITSU Zepro Touring SAE 5W-30 (4л);4;Полусинтетическое;5W-30;SM;;;0;1
Idemitsu;FIA-3585-6L4L;Моторное масло IDEMITSU Zepro Racing SAE 5W-40 (4л);4;Синтетическое;5W-40;SN;;;0;1
Idemitsu;FBA-0405-004;Моторное масло IDEMITSU Extreme Eco SAE 5W-30 (4л);4;Синтетическое;5W-30;SM/CF;;;1;1
